Category,Module,Component/Table,Field/Action,Type,Description,Master,Senior,Mid,External,HR_Finance,Notes
Database,ROI Analysis,roi_calculations,total_costs_estimate,Edit,"Edit cost estimates",✓,✓,✗,✗,✗,Only Master and Senior can edit financial projections
Database,ROI Analysis,roi_calculations,margin_percentage,View,"View margin percentage",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
Database,ROI Analysis,roi_calculations,margin_percentage,Edit,"Edit margin percentage",✓,✗,✗,✗,✗,Only Master can edit margins
Database,ROI Analysis,roi_calculations,roi_percentage,View,"View ROI percentage",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
Database,ROI Analysis,roi_calculations,roi_percentage,Edit,"Edit ROI percentage",✓,✗,✗,✗,✗,Only Master can edit ROI
Database,ROI Analysis,revenue_streams,unit_price,View,"View revenue unit prices",✓,✓,✗,✗,✓,Financial data restricted
Database,ROI Analysis,revenue_streams,unit_price,Edit,"Edit revenue unit prices",✓,✓,✗,✗,✗,Only Master and Senior can edit pricing
Database,ROI Analysis,revenue_streams,quantity,View,"View revenue quantities",✓,✓,✗,✗,✓,Financial data restricted
Database,ROI Analysis,revenue_streams,quantity,Edit,"Edit revenue quantities",✓,✓,✗,✗,✗,Only Master and Senior can edit quantities
Database,ROI Analysis,revenue_streams,fee_percentage,View,"View fee percentages",✓,✓,✗,✗,✓,Financial data restricted
Database,ROI Analysis,revenue_streams,fee_percentage,Edit,"Edit fee percentages",✓,✗,✗,✗,✗,Only Master can edit fee structures
Database,ROI Analysis,cost_streams,unit_cost,View,"View cost unit prices",✓,✓,✗,✗,✓,Financial data restricted
Database,ROI Analysis,cost_streams,unit_cost,Edit,"Edit cost unit prices",✓,✓,✗,✗,✗,Only Master and Senior can edit costs
Database,Operations,project_phases,status,View,"View phase status",✓,✓,✓,Assigned Only,✓,External staff only see assigned project phases
Database,Operations,project_phases,status,Edit,"Edit phase status",✓,✓,✓,✗,✗,Mid level can update phase status
Database,Operations,project_phases,progress_percentage,View,"View phase progress",✓,✓,✓,Assigned Only,✓,External staff only see assigned project phases
Database,Operations,project_phases,progress_percentage,Edit,"Edit phase progress",✓,✓,✓,✗,✗,Mid level can update progress
Database,Operations,project_phases,checklist_items,View,"View phase checklist",✓,✓,✓,Assigned Only,✓,External staff only see assigned project phases
Database,Operations,project_phases,checklist_items,Edit,"Edit phase checklist",✓,✓,✗,✗,✗,Only Master and Senior can modify checklists
Database,Operations,project_phases,checklist_completed,View,"View checklist completion",✓,✓,✓,Assigned Only,✓,External staff only see assigned project phases
Database,Operations,project_phases,checklist_completed,Edit,"Edit checklist completion",✓,✓,✓,✗,✗,Mid level can mark items complete
Database,Operations,project_tasks,task_name,View,"View task name",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
Database,Operations,project_tasks,task_name,Edit,"Edit task name",✓,✓,✓,✗,✗,Mid level can edit task details
Database,Operations,project_tasks,description,View,"View task description",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
Database,Operations,project_tasks,description,Edit,"Edit task description",✓,✓,✓,✗,✗,Mid level can edit task details
Database,Operations,project_tasks,assignee_id,View,"View task assignee",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
Database,Operations,project_tasks,assignee_id,Edit,"Edit task assignee",✓,✓,✗,✗,✗,Only Master and Senior can reassign tasks
Database,Operations,project_tasks,status,View,"View task status",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
Database,Operations,project_tasks,status,Edit,"Edit task status",✓,✓,✓,Own Only,✗,Users can update status of assigned tasks
Database,Operations,project_tasks,priority,View,"View task priority",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
Database,Operations,project_tasks,priority,Edit,"Edit task priority",✓,✓,✗,✗,✗,Only Master and Senior can change priority
Database,Operations,project_tasks,estimated_hours,View,"View estimated hours",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
Database,Operations,project_tasks,estimated_hours,Edit,"Edit estimated hours",✓,✓,✓,✗,✗,Mid level can update estimates
Database,Operations,project_tasks,actual_hours,View,"View actual hours",✓,✓,✓,Own Only,✓,Users can see hours on assigned tasks
Database,Operations,project_tasks,actual_hours,Edit,"Edit actual hours",✓,✓,✓,Own Only,✗,Users can log hours on assigned tasks
Database,Operations,team_members,name,View,"View team member name",✓,✓,✓,✓,✓,Public within organization
Database,Operations,team_members,email,View,"View team member email",✓,✓,✓,✓,✓,Public within organization
Database,Operations,team_members,role,View,"View team member role",✓,✓,✓,✓,✓,Public within organization
Database,Operations,team_members,department,View,"View team member department",✓,✓,✓,✓,✓,Public within organization
Database,Operations,team_members,skills,View,"View team member skills",✓,✓,✓,✓,✓,Public within organization
Database,Operations,team_members,skills,Edit,"Edit team member skills",✓,✓,Own Only,Own Only,✓,Users can edit own skills
Database,Operations,team_members,availability_status,View,"View availability status",✓,✓,✓,✓,✓,Public within organization
Database,Operations,team_members,availability_status,Edit,"Edit availability status",✓,✓,Own Only,Own Only,✗,Users can update own availability
Database,Logistics,resource_allocations,resource_name,View,"View allocated resource name",✓,✓,✓,Assigned Only,✓,External staff only see assigned project resources
Database,Logistics,resource_allocations,resource_name,Edit,"Edit allocated resource name",✓,✓,✗,✗,✗,Only Master and Senior can modify allocations
Database,Logistics,resource_allocations,quantity,View,"View resource quantity",✓,✓,✓,Assigned Only,✓,External staff only see assigned project resources
Database,Logistics,resource_allocations,quantity,Edit,"Edit resource quantity",✓,✓,✗,✗,✗,Only Master and Senior can modify quantities
Database,Logistics,resource_allocations,allocated_from,View,"View allocation start date",✓,✓,✓,Assigned Only,✓,External staff only see assigned project resources
Database,Logistics,resource_allocations,allocated_from,Edit,"Edit allocation start date",✓,✓,✗,✗,✗,Only Master and Senior can modify dates
Database,Logistics,resource_allocations,allocated_to,View,"View allocation end date",✓,✓,✓,Assigned Only,✓,External staff only see assigned project resources
Database,Logistics,resource_allocations,allocated_to,Edit,"Edit allocation end date",✓,✓,✗,✗,✗,Only Master and Senior can modify dates
Database,Documents,document_templates,name,View,"View template name",✓,✓,✓,✗,✓,External staff cannot access templates
Database,Documents,document_templates,name,Edit,"Edit template name",✓,✓,✗,✗,✗,Only Master and Senior can modify templates
Database,Documents,document_templates,description,View,"View template description",✓,✓,✓,✗,✓,External staff cannot access templates
Database,Documents,document_templates,description,Edit,"Edit template description",✓,✓,✗,✗,✗,Only Master and Senior can modify templates
Database,Documents,project_documents,document_name,View,"View document name",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
Database,Documents,project_documents,document_name,Edit,"Edit document name",✓,✓,✗,✗,✗,Only Master and Senior can rename documents
Database,Documents,project_documents,document_url,View,"View document URL",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
Database,Documents,project_documents,document_url,Edit,"Edit document URL",✓,✓,✗,✗,✗,Only Master and Senior can modify document links
Database,Documents,project_documents,file_size,View,"View document file size",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
Database,Documents,project_documents,uploaded_by,View,"View document uploader",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
UI,Authentication,LoginPage,Login Form,Access,"Access login page",✓,✓,✓,✓,✓,Public access for authentication
UI,Authentication,LoginPage,Email Field,Edit,"Enter email for login",✓,✓,✓,✓,✓,Public access for authentication
UI,Authentication,LoginPage,Password Field,Edit,"Enter password for login",✓,✓,✓,✓,✓,Public access for authentication
UI,Authentication,LoginPage,Login Button,Action,"Submit login credentials",✓,✓,✓,✓,✓,Public access for authentication
UI,Authentication,LoginPage,Signup Toggle,Action,"Switch to signup mode",✓,✓,✓,✓,✓,Public access for registration
UI,Dashboard,HomeDashboard,Dashboard Access,Access,"Access home dashboard",✓,✓,✓,✗,✓,External staff cannot access main dashboard
UI,Dashboard,HomeDashboard,Quick Stats,View,"View dashboard statistics",✓,✓,✓,✗,✓,External staff cannot view organization stats
UI,Dashboard,HomeDashboard,Recent Activity,View,"View recent activity feed",✓,✓,✓,✗,✓,External staff cannot view organization activity
UI,Dashboard,HomeDashboard,Quick Actions,Action,"Access quick action buttons",✓,✓,✓,✗,✓,External staff cannot access quick actions
UI,Project Management,ProjectForm,Project ID Field,Edit,"Enter project identifier",✓,✓,✗,✗,✗,Only Master and Senior can create projects
UI,Project Management,ProjectForm,Client Selection,Edit,"Select project client",✓,✓,✗,✗,✗,Only Master and Senior can assign clients
UI,Project Management,ProjectForm,Event Location Field,Edit,"Enter event location",✓,✓,✗,✗,✗,Only Master and Senior can set location
UI,Project Management,ProjectForm,Event Dates,Edit,"Set event start/end dates",✓,✓,✗,✗,✗,Only Master and Senior can set dates
UI,Project Management,ProjectForm,Expected Attendance,Edit,"Set expected attendance",✓,✓,✗,✗,✗,Only Master and Senior can set attendance
UI,Project Management,ProjectForm,Event Type,Edit,"Select event classification",✓,✓,✗,✗,✗,Only Master and Senior can set classification
UI,Project Management,ProjectForm,Create Button,Action,"Submit new project",✓,✓,✗,✗,✗,Only Master and Senior can create projects
UI,Project Management,ProjectForm,Generate ID Button,Action,"Auto-generate project ID",✓,✓,✗,✗,✗,Only Master and Senior can generate IDs
UI,Project Management,ProjectsList,Projects Table,View,"View projects list",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectsList,Search Projects,Action,"Search through projects",✓,✓,✓,Assigned Only,✓,External staff only search assigned projects
UI,Project Management,ProjectsList,Filter Projects,Action,"Filter projects by criteria",✓,✓,✓,Assigned Only,✓,External staff only filter assigned projects
UI,Project Management,ProjectsList,Create New Project Button,Action,"Navigate to project creation",✓,✓,✗,✗,✗,Only Master and Senior can create projects
UI,Project Management,ProjectView,Core Info Tab,Access,"Access project core information",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,ROI3 Tab,Access,"Access ROI analysis",✓,✓,✗,✗,✓,Financial data restricted
UI,Project Management,ProjectView,Logistics Tab,Access,"Access logistics management",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,Operations Tab,Access,"Access operations pipeline",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,Crew Tab,Access,"Access crew management",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,Notifications Tab,Access,"Access project notifications",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,Documents Tab,Access,"Access project documents",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,Timeline Tab,Access,"Access project timeline",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectView,Settings Tab,Access,"Access project settings",✓,✓,✗,✗,✗,Only Master and Senior can access settings
UI,Project Management,CoreInfoPage,Edit Info Button,Action,"Edit project information",✓,✓,✗,✗,✗,Only Master and Senior can edit project info
UI,Project Management,CoreInfoPage,Generate Proposal Button,Action,"Generate project proposal",✓,✓,✗,✗,✗,Only Master and Senior can generate proposals
UI,Project Management,CoreInfoPage,Create Contract Button,Action,"Create project contract",✓,✓,✗,✗,✗,Only Master and Senior can create contracts
UI,Project Management,PhaseTracker,Phase Progress,View,"View project phase progress",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,PhaseTracker,Phase Details,View,"View phase descriptions",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,DocumentManager,Upload Documents,Action,"Upload project documents",✓,✓,✓,✗,✗,External staff cannot upload documents
UI,Project Management,DocumentManager,Download Documents,Action,"Download project documents",✓,✓,✓,Assigned Only,✓,External staff only download assigned project docs
UI,Project Management,DocumentManager,Use Template,Action,"Use document template",✓,✓,✗,✗,✗,Only Master and Senior can use templates
UI,Project Management,ProjectMetadata,Additional Info,View,"View project metadata",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Project Management,ProjectMetadata,Back-Office Links,Action,"Access back-office connections",✓,✓,✗,✗,✗,Only Master and Senior can access back-office
UI,Client Management,ClientForm,Name Field,Edit,"Enter client name",✓,✓,✗,✗,✗,Only Master and Senior can create clients
UI,Client Management,ClientForm,Company Field,Edit,"Enter client company",✓,✓,✗,✗,✗,Only Master and Senior can create clients
UI,Client Management,ClientForm,Email Field,Edit,"Enter client email",✓,✓,✗,✗,✗,Only Master and Senior can create clients
UI,Client Management,ClientForm,Phone Field,Edit,"Enter client phone",✓,✓,✗,✗,✗,Only Master and Senior can create clients
UI,Client Management,ClientForm,Classification Field,Edit,"Select client classification",✓,✓,✗,✗,✗,Only Master and Senior can set classification
UI,Client Management,ClientForm,Create Button,Action,"Submit new client",✓,✓,✗,✗,✗,Only Master and Senior can create clients
UI,Sales Pipeline,SalesPipeline,Pipeline Access,Access,"Access sales pipeline",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,SalesPipeline,Kanban View,View,"View opportunities in kanban",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,SalesPipeline,List View,View,"View opportunities in list",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,SalesPipeline,Search Opportunities,Action,"Search through opportunities",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,SalesPipeline,Filter Opportunities,Action,"Filter opportunities by stage",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,SalesPipeline,New Opportunity Button,Action,"Create new opportunity",✓,✓,✗,✗,✗,Only Master and Senior can create opportunities
UI,Sales Pipeline,SalesPipeline,Metrics Button,Action,"View pipeline metrics",✓,✓,✗,✗,✓,Financial metrics restricted
UI,Sales Pipeline,KanbanBoard,Drag Drop,Action,"Move opportunities between stages",✓,✓,✗,✗,✗,Only Master and Senior can move stages
UI,Sales Pipeline,KanbanBoard,Stage Totals,View,"View stage value totals",✓,✓,✗,✗,✓,Financial data restricted
UI,Sales Pipeline,OpportunityCard,Deal Value,View,"View opportunity value",✓,✓,✗,✗,✓,Financial data restricted
UI,Sales Pipeline,OpportunityCard,Temperature,View,"View opportunity temperature",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,OpportunityCard,Lead Score,View,"View opportunity lead score",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,OpportunityCard,Win Probability,View,"View win probability",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,OpportunityForm,Company Name,Edit,"Enter opportunity company",✓,✓,✗,✗,✗,Only Master and Senior can create opportunities
UI,Sales Pipeline,OpportunityForm,Event Name,Edit,"Enter opportunity event name",✓,✓,✗,✗,✗,Only Master and Senior can create opportunities
UI,Sales Pipeline,OpportunityForm,Deal Value,Edit,"Enter deal value",✓,✓,✗,✗,✗,Financial data restricted
UI,Sales Pipeline,OpportunityForm,Currency,Edit,"Select deal currency",✓,✓,✗,✗,✗,Financial data restricted
UI,Sales Pipeline,OpportunityForm,Stage,Edit,"Select opportunity stage",✓,✓,✗,✗,✗,Only Master and Senior can set stages
UI,Sales Pipeline,OpportunityForm,Client Tier,Edit,"Select client tier",✓,✓,✗,✗,✗,Only Master and Senior can set tiers
UI,Sales Pipeline,OpportunityForm,Owner,Edit,"Assign opportunity owner",✓,✓,✗,✗,✗,Only Master and Senior can assign owners
UI,Sales Pipeline,OpportunityForm,Win Probability,Edit,"Set win probability",✓,✓,✗,✗,✗,Only Master and Senior can set probability
UI,Sales Pipeline,OpportunityForm,Lead Scoring Factors,Edit,"Set lead scoring factors",✓,✓,✗,✗,✗,Only Master and Senior can set scoring
UI,Sales Pipeline,OpportunityDetails,Convert to Project,Action,"Convert opportunity to project",✓,✓,✗,✗,✗,Only Master and Senior can convert
UI,Sales Pipeline,OpportunityDetails,Add Activity,Action,"Add opportunity activity",✓,✓,✓,✗,✗,Mid level can add activities
UI,Sales Pipeline,OpportunityDetails,View Activities,View,"View opportunity activities",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,PipelineMetrics,Total Opportunities,View,"View total opportunities count",✓,✓,✗,✗,✓,Financial metrics restricted
UI,Sales Pipeline,PipelineMetrics,Total Value,View,"View total pipeline value",✓,✓,✗,✗,✓,Financial data restricted
UI,Sales Pipeline,PipelineMetrics,Conversion Rate,View,"View conversion rate",✓,✓,✗,✗,✓,Financial metrics restricted
UI,Sales Pipeline,PipelineMetrics,Average Deal Size,View,"View average deal size",✓,✓,✗,✗,✓,Financial data restricted
UI,Sales Pipeline,PipelineMetrics,Stage Distribution,View,"View stage distribution",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,Sales Pipeline,PipelineMetrics,Temperature Distribution,View,"View temperature distribution",✓,✓,✓,✗,✓,External staff cannot access sales data
UI,ROI Analysis,ROI3,ROI Access,Access,"Access ROI analysis module",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
UI,ROI Analysis,ROI3,Revenue Streams,View,"View revenue stream data",✓,✓,✗,✗,✓,Financial data restricted
UI,ROI Analysis,ROI3,Revenue Streams,Edit,"Edit revenue stream data",✓,✓,✗,✗,✗,Only Master and Senior can edit revenue
UI,ROI Analysis,ROI3,Cost Streams,View,"View cost stream data",✓,✓,✗,✗,✓,Financial data restricted
UI,ROI Analysis,ROI3,Cost Streams,Edit,"Edit cost stream data",✓,✓,✗,✗,✗,Only Master and Senior can edit costs
UI,ROI Analysis,ROI3,Margin Calculations,View,"View margin calculations",✓,✓,✗,✗,✓,Financial data restricted
UI,ROI Analysis,ROI3,Margin Calculations,Edit,"Edit margin calculations",✓,✗,✗,✗,✗,Only Master can edit margins
UI,ROI Analysis,ROI3,Scenario Modeling,View,"View scenario models",✓,✓,✗,✗,✓,Financial data restricted
UI,ROI Analysis,ROI3,Scenario Modeling,Edit,"Edit scenario models",✓,✓,✗,✗,✗,Only Master and Senior can edit scenarios
UI,ROI Analysis,ROI3,Export Excel,Action,"Export ROI to Excel",✓,✓,✗,✗,✓,Financial export restricted
UI,ROI Analysis,ROI3,Export QuickBooks,Action,"Export to QuickBooks",✓,✗,✗,✗,✓,Only Master and HR can export to accounting
UI,ROI Analysis,ROI3,Approval Workflow,View,"View approval status",✓,✓,✗,✗,✓,Financial approval restricted
UI,ROI Analysis,ROI3,Approval Workflow,Action,"Submit for approval",✓,✓,✗,✗,✗,Only Master and Senior can submit for approval
UI,Operations,OperationsPipeline,Operations Access,Access,"Access operations pipeline",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Operations,OperationsPipeline,Overview Tab,Access,"Access operations overview",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
UI,Operations,OperationsPipeline,Tasks Tab,Access,"Access all tasks view",✓,✓,✓,Assigned Only,✓,External staff only see assigned tasks
UI,Operations,OperationsPipeline,Phase Tabs,Access,"Access individual phase tabs",✓,✓,✓,Assigned Only,✓,External staff only see assigned phases
UI,Operations,OverviewTab,Project Team,View,"View project team members",✓,✓,✓,Assigned Only,✓,External staff only see assigned project team
UI,Operations,OverviewTab,Critical Dates,View,"View critical project dates",✓,✓,✓,Assigned Only,✓,External staff only see assigned project dates
UI,Operations,OverviewTab,Project Status,View,"View project status overview",✓,✓,✓,Assigned Only,✓,External staff only see assigned project status
UI,Operations,OverviewTab,Key Documents,View,"View key document list",✓,✓,✓,Assigned Only,✓,External staff only see assigned project documents
UI,Operations,OverviewTab,Key Documents,Edit,"Upload/link key documents",✓,✓,✓,✗,✗,External staff cannot upload documents
