Page/Module,Field Name,Field Type,Category/Section,Required,Options/Format,Description,Database Column
Client Relations,Client Feedback,Feedback Form,Client Feedback,No,Client satisfaction survey,Client feedback and ratings,client_feedback_*
Client Relations,Incidents Review,Incident List,Incidents,No,Incident reports,Review of incidents during event,client_incidents_*
Client Relations,Summary & Actions,Report,Summary,No,Summary with action items,Post-event summary and actions,client_summary_actions
Notifications,Project Notifications,Notification List,Notifications,No,Priority-based notifications,Critical project alerts,project_notifications_*
Notifications,Escalations,Escalation Alerts,Critical,No,High-priority escalations,Critical issues requiring attention,notifications_escalations_*
Documents,Contract,File Upload,Legal,No,PDF document,Signed contract,documents_contract
Documents,Service Level Agreement,File Upload,Legal,No,PDF document,SLA document,documents_sla
Documents,Scope of Work,File Upload,Planning,No,PDF document,Scope of work document,documents_sow
Documents,Project Info Request,File Upload,Client Docs,No,PDF/Word,Client information request,documents_info_request
Documents,Menus & Products,File Upload,Client Docs,No,PDF/Excel,Food and product lists,documents_menus
Documents,Device Allocation,File Upload,Technical,No,PDF/Excel,Device allocation plan,documents_devices
Documents,Technical Rider,File Upload,Technical,No,PDF document,Technical requirements,documents_rider
Documents,Custom Documents,Multi-file Upload,Custom,No,Various formats,Additional project documents,documents_custom_*
Timeline,Project Timeline,Gantt Chart,Timeline,No,Visual timeline,Project timeline visualization,N/A - Computed
Settings,Project Settings,Settings Form,Configuration,No,Various settings,Project-specific settings,project_settings_*
Settings,Notification Preferences,Checkbox List,Notifications,No,Boolean toggles,Notification settings,project_notif_prefs_*
Settings,Integration Config,Integration Settings,External Systems,No,API configurations,External system connections,project_integration_config_*
System,Current Phase,Read-only,Project Status,No,"1-5 (Discover, Build, Prepare, Deliver, Roundup)",Current project phase - managed by system,current_phase
System,Phase Progress,Read-only,Project Status,No,Percentage (0-100),Progress within current phase,phase_progress
System,Status,Read-only,Project Status,No,"Active, Completed, On Hold, Cancelled",Overall project status,status
System,Project Name,Computed,Display,No,Auto-generated from fields,Computed display name,project_name
System,Current Phase Text,Computed,Display,No,Phase name string,Human-readable phase name,current_phase_text
System,Is Deleted,System,System,No,Boolean,Soft delete flag,is_deleted
System,Deleted At,System,System,No,Timestamp,When project was deleted,deleted_at
System,Deleted By,System,System,No,User ID,Who deleted the project,deleted_by
System,Created At,System,System,No,Timestamp,Project creation timestamp,created_at
System,Updated At,System,System,No,Timestamp,Last update timestamp,updated_at
System,Updated By,System,System,No,User ID,Last user to update project,updated_by
